NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4,GENERATED_CYPHER,DB_OUTPUT,IS_USEFUL,EVAL_REASON
Is Sunita Sen responsible for the use of original annotator codes data for the task of bar chart breakdown?,FALSE,reasoning,,,"MATCH (p:Person)-[:worksWith]->(d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
  AND toLower(d.datasetName) CONTAINS toLower(""original annotator codes"")
  AND toLower(t.taskName) CONTAINS toLower(""bar chart breakdown"")
RETURN count(t) > 0 AS result",[{'result': False}],True,"The raw database output returns False, which matches the expected Gold Answer of FALSE, so it correctly satisfies the user’s question."
What is the affiliation of Dr Liu mentioned in the synthesis meeting minutes?,Not available,not available,,,"MATCH (p:Person)-[:attends]->(m:Meeting)
WHERE toLower(p.personName) CONTAINS toLower(""Liu"") AND m.meetAgenda IS NOT NULL AND toLower(m.meetAgenda) CONTAINS toLower(""synthesis"")
RETURN DISTINCT p.affiliation",[],True,Both correctly identified missing information.
Does Prof. Ramesh Bhatia work with color palette for visualizations?,FALSE,reasoning,,,"MATCH (p:Person)-[:worksWith]->(d:Dataset)
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"") AND toLower(d.datasetName) CONTAINS toLower(""color palette"")
RETURN count(d) > 0 AS result",[{'result': False}],True,"The raw database output indicates False, which matches the Gold Answer of FALSE. It correctly satisfies the user’s question."
Which conferences are the visualizations being prepared for in the context of the email?,"ACL, EMNLP",multi-hop,,,"MATCH (t:Task) 
WHERE toLower(t.taskName) CONTAINS ""visualization"" OR toLower(t.taskName) CONTAINS ""visualisations"" OR toLower(t.taskName) CONTAINS ""visualising"" OR toLower(t.taskName) CONTAINS ""visualize"" OR toLower(t.taskName) CONTAINS ""visualise"" OR toLower(t.taskName) CONTAINS ""prepar"" 
WITH DISTINCT t
MATCH (p:Person)-[:worksOn]->(t)
MATCH (p)-[:attends]->(c:Conference)
RETURN DISTINCT c.confTitle","[{'c.confTitle': 'ACL'}, {'c.confTitle': 'EMNLP'}, {'c.confTitle': 'ACL 2019'}, {'c.confTitle': 'JCDL'}, {'c.confTitle': 'JCDL 2020'}, {'c.confTitle': 'ACL 2021'}, {'c.confTitle': 'HistocrNLP outreach event'}, {'c.confTitle': 'ACL 2022'}, {'c.confTitle': 'JCDL 2022'}, {'c.confTitle': 'JCDL 2022 conference program'}, {'c.confTitle': 'JCDL 2023'}, {'c.confTitle': '2023 Joint Conference on Digital Libraries'}, {'c.confTitle': '2023 ACM/IEEE Joint Conference on Digital Libraries (JCDL 2023)'}, {'c.confTitle': 'ACL2024'}, {'c.confTitle': 'departmental research colloquium'}, {'c.confTitle': ""IACS Computer Science Department's 2025 Research Colloquium""}, {'c.confTitle': 'ACL session'}, {'c.confTitle': '2024 Annual Meeting of the Association for Computational Linguistics (ACL 2024)'}, {'c.confTitle': 'ACL 2024'}, {'c.confTitle': 'ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2020'}]",True,"The raw database output includes both 'ACL' and 'EMNLP', which are exactly the conferences specified in the Gold Answer, so it contains the correct information needed, even though it also has additional unrelated entries."
Has Sunita Sen co-authored any papers with Dr. Michael Bradley?,TRUE,reasoning,,,"MATCH (pa:Paper)-[:hasAuthor]->(p1:Person), (pa)-[:hasAuthor]->(p2:Person)
WHERE (toLower(p1.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(p2.personName) CONTAINS toLower(""Michael Bradley""))
   OR (toLower(p2.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(p1.personName) CONTAINS toLower(""Michael Bradley""))
RETURN count(pa) > 0 AS result",[{'result': True}],True,"The database output returns `True`, which matches the Gold Answer of TRUE to the yes/no question about co-authorship. Therefore, it correctly satisfies the user's question."
What are the specific datasets used for the visualizations mentioned in the email?,Not available,not available,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],True,"The gold answer indicates that the information is not available, and the raw database output reports an error and provides no data. Both effectively convey that the system cannot provide the requested datasets, so the database output is consistent with the gold answer."
Who are the co-authors working with Dr. Ananya Chatterjee on the visualization component?,"Prof. Ramesh Bhatia, Sunita Sen, Dr. Michael Bradley",multi-hop,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)-[:hasAuthor]-(co:Person), (co)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"")
  AND toLower(t.taskName) CONTAINS toLower(""visualization"")
  AND co.id <> p.id
RETURN DISTINCT co.personName","[{'co.personName': 'Sunita Sen'}, {'co.personName': 'Prof. Ramesh Bhatia'}, {'co.personName': 'Dr. Michael Bradley'}, {'co.personName': 'Dr. Ananya Chatterjee'}]",True,"The database output includes all three correct co-authors (Prof. Ramesh Bhatia, Sunita Sen, Dr. Michael Bradley) along with Dr. Ananya Chatterjee herself. Despite the extra entry, the correct information needed to answer the question is fully present."
Did Sunita Sen contribute to the selection of exemplar explanatory segments?,FALSE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(t.taskName) CONTAINS ""exemplar"" AND toLower(t.taskName) CONTAINS ""explanatory""
RETURN count(t) > 0 AS result",[{'result': False}],True,"The database output indicates result: False, which matches the Gold Answer of FALSE, so it correctly satisfies the user’s question."
Which datasets were used for the Faithfulness/Clarity Heatmaps?,Not available,not available,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""faithfulness"" OR toLower(t.taskName) CONTAINS ""clarity"" OR toLower(t.taskName) CONTAINS ""heatmap""
RETURN DISTINCT d.datasetName",[],True,Both correctly identified missing information.
What is the title of the paper related to these visualization drafts?,Not available,not available,,,"MATCH (t:Task) WHERE toLower(t.taskName) CONTAINS ""visualization"" OR toLower(t.taskName) CONTAINS ""draft""
MATCH (p:Person)-[:worksOn]->(t)
MATCH (pa:Paper)-[:hasAuthor]->(p)
RETURN DISTINCT pa.paperTitle","[{'pa.paperTitle': 'Temporal Sentiment Analysis in Historical Archives'}, {'pa.paperTitle': 'Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data'}, {'pa.paperTitle': 'Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives'}, {'pa.paperTitle': 'revised manuscript'}, {'pa.paperTitle': 'NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers'}, {'pa.paperTitle': 'Reproducible NLP Workflows for Historical Datasets: Lessons from a Cross-Lingual Gazetteer Project'}, {'pa.paperTitle': 'Master_Slide_Deck_JCDL2020_Final_19Apr2020.pdf'}, {'pa.paperTitle': 'Entity Normalization, Reproducibility, and FAIR Data Management in Historical NLP: A Workflow Tutorial'}, {'pa.paperTitle': 'JCDL 2020 tutorial proposal'}, {'pa.paperTitle': 'NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility'}, {'pa.paperTitle': 'NLP Methods for Large-Scale Historical Data'}, {'pa.paperTitle': 'JOCCH submission'}, {'pa.paperTitle': 'Cross-Institutional Methods for NLP on Historical Data: Dataset Profiling, Transfer Approaches, and Compliance'}, {'pa.paperTitle': 'JOCCH_Revision/FinalManuscript_18Nov22'}, {'pa.paperTitle': 'Cross-Lingual Transfer and Error Analysis in Privacy-Preserved Historical Data: Methodological and Compliance Supplement with Code Anchors'}, {'pa.paperTitle': 'JOCCH manuscript'}, {'pa.paperTitle': 'JOCCH revision'}, {'pa.paperTitle': 'Domain Transfer Limits and Anchor-Based Reviewer Navigation for NLP on Historical Data'}, {'pa.paperTitle': 'Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances'}, {'pa.paperTitle': 'CameraReady_JOCCH_Revision'}, {'pa.paperTitle': 'JOCCH camera-ready manuscript'}, {'pa.paperTitle': 'camera-ready manuscript'}, {'pa.paperTitle': 'HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains'}, {'pa.paperTitle': 'HistocrNLP project lay summary'}, {'pa.paperTitle': 'initial FAQ'}, {'pa.paperTitle': 'ACL resource track submission package'}, {'pa.paperTitle': 'Deploying Synthetic Preview and Embargo Protocols for Multilingual Historical NLP Resources'}, {'pa.paperTitle': 'our resource track paper'}, {'pa.paperTitle': 'Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols'}, {'pa.paperTitle': 'A Provenance-Aware Annotation Protocol for NLP on Historical Document Corpora'}, {'pa.paperTitle': 'NLP Methods for Historical Data: Provenance and Bias Mitigation'}, {'pa.paperTitle': 'Leveraging Multilingual NLP for Historical Data: Case Studies Across South Asian Texts'}, {'pa.paperTitle': 'embargo monitoring log'}, {'pa.paperTitle': 'FINAL_Integrated_FAQ_Annex_v1.0'}, {'pa.paperTitle': 'JCDL 2022 FAQ annex submission'}, {'pa.paperTitle': 'Cross-Institutional Protocols for Metadata and Embargo: An Integrated FAQ Annex'}, {'pa.paperTitle': 'integrated FAQ annex'}, {'p... [TRUNCATED DUE TO SIZE]",True,"The gold answer is 'Not available', meaning there is no single known correct title. The raw database output does contain multiple paperTitle values that could plausibly be the titles of papers related to the visualization drafts, so it provides relevant candidate information beyond the gold answer. Therefore it is considered useful for satisfying the user’s question compared to the gold answer baseline."
Which university is Dr. Michael Bradley affiliated with?,"Stanford University, Collaborators: Dr. Ananya Chatterjee, Prof. Ramesh Bhatia, Sunita Sen",multi-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") RETURN DISTINCT p.affiliation",[{'p.affiliation': 'Stanford University'}],True,"The user only asked for Dr. Michael Bradley’s university affiliation. The raw database output correctly provides 'Stanford University,' which matches the Gold Answer’s affiliation. The collaborators listed in the Gold Answer are extra information not requested by the user, so the DB output is sufficient to answer the question."
Did Sunita Sen work with researchers from Oxford University?,TRUE,reasoning,,,"MATCH (p1:Person)-[:worksWith]->()<-[:worksWith]-(p2:Person)
WHERE toLower(p1.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(p2.affiliation) CONTAINS toLower(""Oxford University"")
RETURN count(p2) > 0 AS result",The information could not be extracted from the KG.,False,"The gold answer is TRUE, but the database output says the information could not be extracted, giving no indication that she did work with Oxford researchers. It does not provide the correct information to satisfy the question."
What dataset was used for the visualization figures discussed in the email?,Not available,not available,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],True,"The gold answer is 'Not available,' indicating the information is not present. The raw database output shows an error and no data, which effectively conveys that the requested information is not available. Thus, it is consistent with the gold answer."
What are the affiliations of Dr. Ananya Chatterjee and Dr. Michael Bradley?,"Dr. Michael Bradley, Stanford University; Dr. Ananya Chatterjee, University of Oxford",multi-hop,,,"MATCH (p:Person) 
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") OR toLower(p.personName) CONTAINS toLower(""Michael Bradley"") 
RETURN DISTINCT p.personName, p.affiliation","[{'p.personName': 'Dr Michael Bradley', 'p.affiliation': 'Stanford University'}, {'p.personName': 'Dr Ananya Chatterjee', 'p.affiliation': 'University of Oxford'}, {'p.personName': 'Dr. Michael Bradley', 'p.affiliation': 'Stanford University'}, {'p.personName': 'Dr. Ananya Chatterjee', 'p.affiliation': 'University of Oxford'}, {'p.personName': 'Ananya Chatterjee', 'p.affiliation': None}]",True,"The database output contains entries for both Dr Michael Bradley/Dr. Michael Bradley with affiliation Stanford University and Dr Ananya Chatterjee/Dr. Ananya Chatterjee with affiliation University of Oxford, which matches the Gold Answer. Extra duplicate and one incomplete record do not prevent answering correctly."
Which person is suggested to have contributed to the NLP evaluation on noisy historical data through annotator disagreements?,Sunita Sen,multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE (toLower(t.taskName) CONTAINS ""nlp"" OR toLower(t.taskName) CONTAINS ""evaluation"")
  AND (toLower(t.taskName) CONTAINS ""noisy"" OR toLower(t.taskName) CONTAINS ""historical"")
  AND (toLower(t.taskName) CONTAINS ""annotator"" OR toLower(t.taskName) CONTAINS ""disagreement"")
RETURN DISTINCT p.personName",[],False,"The database output is empty and does not contain the correct answer 'Sunita Sen' or any relevant information, so it cannot satisfy the user’s question."
What is the title of the paper that includes the visualization assets discussed in the email?,Not available,not available,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],True,"The gold answer indicates that the answer is not available, and the database output reports an error and provides no title. Both effectively convey that the system cannot provide the requested information, so the database output is consistent with the gold answer in terms of satisfying the question."
Which task was Dr. Michael Bradley responsible for in the manuscript preparation?,Camera-ready manuscript preparation,single-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") AND toLower(t.taskName) CONTAINS toLower(""manuscript"")
RETURN DISTINCT t.taskName","[{'t.taskName': 'suggest a sequence for figure order in the manuscript'}, {'t.taskName': 'manuscript integration'}, {'t.taskName': 'integrating revisions and visual assets into the draft manuscript'}, {'t.taskName': 'assemble the integrated manuscript draft'}, {'t.taskName': 'integrated manuscript draft review'}, {'t.taskName': 'minor revision of the manuscript for the ACM JOCCH'}, {'t.taskName': 'consolidate and finalize the full manuscript plus response letter'}, {'t.taskName': 'complete manuscript integration and finalize internal review'}, {'t.taskName': 'review the manuscript and response letter'}, {'t.taskName': 'revise manuscript and submit response letter'}, {'t.taskName': 'upload revised manuscript and response letter to JOCCH'}, {'t.taskName': 'finalizing manuscript for JOCCH minor revisions'}, {'t.taskName': 'finalizing manuscript'}, {'t.taskName': 'final crosscheck of manuscript and supplementary materials'}, {'t.taskName': 'work together towards a seamless manuscript submission'}, {'t.taskName': 'manuscript finalization meeting'}, {'t.taskName': 'camera-ready manuscript preparation'}, {'t.taskName': 'final 24-hour review of manuscript and supplement'}, {'t.taskName': 'upload final manuscript and supplement to the JOCCH portal'}, {'t.taskName': 'highlight changes made to the manuscript using tracked changes or equivalent highlighting tools'}, {'t.taskName': 'upload the revised manuscript and response document via the JOCCH submission portal'}, {'t.taskName': 'consolidate Response to Reviewers and track manuscript changes'}, {'t.taskName': 'revised manuscript submission'}, {'t.taskName': 'submit a revised version of your manuscript and supplementary material'}, {'t.taskName': 'submit a clean, camera-ready version of the manuscript and supplementary files, together with a brief summary of final clarifications'}, {'t.taskName': 'initiate the manuscript structure (per ACL template) and set up Overleaf'}, {'t.taskName': 'harmonizing the language with the manuscript’s impact narrative and technical documentation'}, {'t.taskName': 'full manuscript draft'}, {'t.taskName': 'confirm approval of the manuscript by end of day tomorrow'}, {'t.taskName': 'camera-ready manuscript upload'}, {'t.taskName': 'developing a full-length manuscript for journal submission'}, {'t.taskName': 'manuscript timeline—review upcoming JOCCH submission milestones and confirm readiness of key sections'}, {'t.taskName': 'draft and share the manuscript’s “Resource Transparency” section including FAIR principles summary'}, {'t.taskName': 'confirming that all vignettes and supplementary files are ready for manuscript integration'}, {'t.taskName': 'circulate the full manuscript draft for a final group review'}, {'t.taskName': 'group review of the complete manuscript (including all hyperlinks and references to supplementary materials)'}, {'t.taskName': 'final review and manuscript circulation'}, {'t.taskName': 'final manuscript review phase'}, {'t.taskName': 'workshop report ... [TRUNCATED DUE TO SIZE]",True,"Among the listed task names there is an entry exactly matching the Gold Answer: 'camera-ready manuscript preparation'. Therefore, the raw database output does contain the correct information needed to answer the user’s question."
"What conference is the paper ""Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data"" intended for submission?",ACL 2019,single-hop,,,"MATCH (p:Paper)-[:hasPaperInfo]->(pb:PaperBib)
WHERE toLower(p.paperTitle) CONTAINS toLower(""Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data"")
MATCH (sid:SubmissionID)-[:identifies]->(p)
MATCH (sid)-[:inVenue]->(c:Conference)
RETURN DISTINCT c.confTitle",[],False,"The raw database output is an empty list and does not contain any information, so it cannot provide the correct conference (ACL 2019) for the paper."
Which conference is the paper that Sunita Sen and her co-authors are working on intended to be submitted to?,ACL,multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)<-[:usedFor]-(d:Dataset)
WITH DISTINCT p, t
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
MATCH (p2:Person)-[:worksOn]->(t)
MATCH (pa:Paper)-[:hasAuthor]->(p2)
MATCH (s:SubmissionID)-[:identifies]->(pa)
MATCH (s)-[:inVenue]->(c:Conference)
RETURN DISTINCT c.confTitle","[{'c.confTitle': 'ACL 2019'}, {'c.confTitle': 'JCDL 2020'}, {'c.confTitle': 'ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2020'}, {'c.confTitle': 'JCDL 2023'}, {'c.confTitle': '2023 Joint Conference on Digital Libraries'}, {'c.confTitle': 'ACL 2021'}, {'c.confTitle': 'ACL 2021 resource track'}, {'c.confTitle': 'ACL 2022'}, {'c.confTitle': 'JCDL 2022'}, {'c.confTitle': 'ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2022'}, {'c.confTitle': 'ACL'}, {'c.confTitle': '2023 Annual Meeting of the Association for Computational Linguistics (ACL)'}, {'c.confTitle': 'ACL2024'}]",True,"The raw database output includes an entry with 'c.confTitle': 'ACL', which matches the expected gold answer, so it contains the correct information needed to answer the question."
Is the manuscript draft ready for pre-submission administrative checks according to Sunita Sen?,FALSE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
  AND (
    toLower(t.taskName) CONTAINS ""pre-submission"" OR
    toLower(t.taskName) CONTAINS ""administrative check"" OR
    toLower(t.taskName) CONTAINS ""admin check"" OR
    toLower(t.taskName) CONTAINS ""manuscript draft ready""
  )
RETURN count(t) > 0 AS result",[{'result': True}],False,"The gold answer states FALSE while the database output returns True, so the database output contradicts the correct answer and does not contain the correct information."
What datasets are evaluated by the metrics that Sunita Sen works with?,"annotated corpora
NER annotation set
topical annotation set
first dataset summaries",multi-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Metric)-[:evaluates]->(d:Dataset)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'annotated corpora'}, {'d.datasetName': 'NER annotation set'}, {'d.datasetName': 'topical annotation set'}, {'d.datasetName': 'first dataset summaries'}]",True,"The raw database output lists the exact same dataset names as the Gold Answer (annotated corpora, NER annotation set, topical annotation set, first dataset summaries), so it fully satisfies the user’s question."
Is Sunita Sen associated with the Indian Association for the Cultivation of Science?,TRUE,reasoning,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(p.affiliation) CONTAINS toLower(""Indian Association for the Cultivation of Science"") RETURN count(p) > 0 AS result",[{'result': True}],True,"The raw database output indicates True, which matches the expected Gold Answer (TRUE), so it correctly satisfies the user’s question."
What is the target conference for the paper being prepared by Dr. Ananya Chatterjee and her team?,ACL 2019,multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"")
WITH t
MATCH (teamMember:Person)-[:worksOn]->(t)
WITH DISTINCT t
MATCH (t)<-[:usedFor]-(d:Dataset)
WITH t
MATCH (pa:Paper)-[:hasAuthor]->(teamMember:Person)-[:worksOn]->(t)
WITH DISTINCT pa
MATCH (s:SubmissionID)-[:identifies]->(pa)
MATCH (s)-[:inVenue]->(c:Conference)
RETURN DISTINCT c.confTitle AS targetConference","[{'targetConference': 'ACL 2019'}, {'targetConference': 'JCDL 2020'}, {'targetConference': 'ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2020'}, {'targetConference': 'JCDL 2023'}, {'targetConference': '2023 Joint Conference on Digital Libraries'}, {'targetConference': 'ACL 2021'}, {'targetConference': 'ACL 2021 resource track'}, {'targetConference': 'ACL 2022'}, {'targetConference': 'JCDL 2022'}, {'targetConference': 'ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2022'}, {'targetConference': 'ACL'}, {'targetConference': '2023 Annual Meeting of the Association for Computational Linguistics (ACL)'}, {'targetConference': 'ACL2024'}]",True,"Yes. The raw database output includes an entry with 'targetConference': 'ACL 2019', which matches the Gold Answer exactly, so it contains the correct information needed to answer the question."
What is the ID for the submission to 'ACL 2019' conference?,SUB-ACL-2019-0374,single-hop,,,"MATCH (c:Conference) WHERE toLower(c.confTitle) CONTAINS toLower(""ACL 2019"") 
MATCH (s:SubmissionID)-[:inVenue]->(c) 
RETURN DISTINCT s.identifier",[{'s.identifier': 'SUB-ACL-2019-0374'}],True,"The raw database output contains the identifier 'SUB-ACL-2019-0374', which exactly matches the Gold Answer. Therefore, it provides the correct information to satisfy the user's question."
Is there a plan to submit the paper before June 2019?,TRUE,reasoning,,,"MATCH (s:SubmissionID)-[:movesTo]->(ps:PaperStatus)
WHERE ps.statusDate IS NOT NULL AND date(ps.statusDate) < date(""2019-06-01"")
RETURN count(s) > 0 AS result",[{'result': True}],True,"The raw database output is True, which matches the expected Gold Answer TRUE, so it correctly satisfies the user’s question."
What is the title of the paper being submitted to 'ACL 2019'?,Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,multi-hop,,,"MATCH (c:Conference) WHERE toLower(c.confTitle) CONTAINS toLower(""ACL 2019"")
MATCH (s:SubmissionID)-[:inVenue]->(c)
MATCH (s)-[:identifies]->(p:Paper)
RETURN DISTINCT p.paperTitle",[{'p.paperTitle': 'Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data'}],True,"The raw database output contains the exact paper title matching the Gold Answer, so it fully satisfies the user’s question."
What is the status of the paper titled 'Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data' submitted to 'ACL 2019'?,Submitted,multi-hop,,,"MATCH (p:Paper)-[:hasPaperInfo]->(pb:PaperBib), (p)<-[:identifies]-(s:SubmissionID)-[:inVenue]->(c:Conference), (s)-[:movesTo]->(ps:PaperStatus)
WHERE toLower(p.paperTitle) CONTAINS toLower(""Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data"")
  AND toLower(c.confTitle) CONTAINS toLower(""ACL 2019"")
RETURN DISTINCT ps.statusType, ps.statusDate",[],False,"The raw database output is an empty list and does not indicate the status of the paper. It does not provide the expected answer 'Submitted' or any equivalent information, so it cannot satisfy the user’s question."
Did Ananya Chatterjee submit any papers to conferences in 2019?,TRUE,reasoning,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)<-[:identifies]-(s:SubmissionID)-[:inVenue]->(c:Conference)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND c.confDate IS NOT NULL AND date(c.confDate).year = 2019
RETURN count(s) > 0 AS result",[{'result': False}],False,"The gold answer indicates that Ananya Chatterjee did submit papers in 2019 (TRUE), while the raw database output states False. Therefore, the database output does not provide the correct information compared to the gold answer."
What methods were used in the paper submitted by Ananya Chatterjee to ACL 2019?,Not available,not available,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)<-[:identifies]-(s:SubmissionID)-[:inVenue]->(c:Conference)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND toLower(c.confTitle) CONTAINS toLower(""ACL"") AND c.confDate CONTAINS ""2019""
MATCH (pa)<-[:hasAuthor]-(p2:Person)-[:worksWith]->(m:Method)
WHERE p2 = p
RETURN DISTINCT m.methodName",The information could not be extracted from the KG.,True,Both correctly identified missing information.
What is the title of the paper submitted to ACL 2019 by the team including Dr. Michael Bradley and Dr. Ananya Chatterjee?,Not available,multi-hop,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)<-[:identifies]-(s:SubmissionID)-[:inVenue]->(c:Conference)
WHERE (toLower(p.personName) CONTAINS toLower(""Michael Bradley"") OR toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee""))
AND toLower(c.confTitle) CONTAINS toLower(""ACL"")
AND c.confDate IS NOT NULL AND date(c.confDate).year = 2019
RETURN DISTINCT pa.paperTitle",[],True,Both correctly identified missing information.
Did the team consider preparing a presentation for internal departmental meetings post-submission?,Yes,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE (toLower(t.taskName) CONTAINS ""presentation"" OR toLower(t.taskName) CONTAINS ""internal"" OR toLower(t.taskName) CONTAINS ""department"" OR toLower(t.taskName) CONTAINS ""meeting"")
RETURN count(t) > 0 AS result",[{'result': True}],True,"The database output is True, which directly corresponds to the Gold Answer of 'Yes', so it contains the correct information."
What dataset is planned to be released in conjunction with the ACL 2019 paper?,Not available,not available,,,"MATCH (c:Conference) 
WHERE toLower(c.confTitle) CONTAINS toLower(""ACL"") AND c.confDate CONTAINS ""2019""
MATCH (s:SubmissionID)-[:inVenue]->(c)
MATCH (s)-[:identifies]->(p:Paper)
MATCH (p)<-[:worksWith]-(person:Person)-[:worksWith]->(d:Dataset)
RETURN DISTINCT d.datasetName",The information could not be extracted from the KG.,True,Both correctly identified missing information.
Which conferences were mentioned in the email thread involving Sunita Sen?,ACL 2019,multi-hop,,,"MATCH (p:Person)-[:sentBy|:receivedBy]-(e:Email)-[:partOf]->(mt:MailThread)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
WITH DISTINCT mt
MATCH (e2:Email)-[:partOf]->(mt)
MATCH (e2)-[:sentBy|:receivedBy]-(p2:Person)-[:attends]->(c:Conference)
RETURN DISTINCT c.confTitle","[{'c.confTitle': 'ACL'}, {'c.confTitle': 'EMNLP'}, {'c.confTitle': 'ACL 2019'}, {'c.confTitle': 'JCDL'}, {'c.confTitle': 'JCDL 2020'}, {'c.confTitle': 'ACL 2021'}, {'c.confTitle': 'HistocrNLP outreach event'}, {'c.confTitle': 'ACL 2022'}, {'c.confTitle': 'ACL session'}, {'c.confTitle': 'JCDL 2022'}, {'c.confTitle': 'JCDL 2022 conference program'}, {'c.confTitle': 'JCDL 2023'}, {'c.confTitle': '2023 Joint Conference on Digital Libraries'}, {'c.confTitle': '2023 ACM/IEEE Joint Conference on Digital Libraries (JCDL 2023)'}, {'c.confTitle': '2024 Annual Meeting of the Association for Computational Linguistics (ACL 2024)'}, {'c.confTitle': 'ACL 2024'}, {'c.confTitle': 'ACL2024'}, {'c.confTitle': 'departmental research colloquium'}, {'c.confTitle': ""IACS Computer Science Department's 2025 Research Colloquium""}, {'c.confTitle': 'ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2020'}]",True,"Yes. The database output includes 'ACL 2019', which matches the expected gold answer, so it contains the correct information needed to answer the question, even though it also includes many additional conferences."
Is there a plan to release a dataset related to the ACL 2019 submission?,TRUE,reasoning,,,"MATCH (c:Conference) 
WHERE toLower(c.confTitle) CONTAINS toLower(""ACL"") AND c.confDate CONTAINS ""2019""
MATCH (s:SubmissionID)-[:inVenue]->(c)
MATCH (s)-[:identifies]->(p:Paper)
MATCH (d:Dataset)<-[:worksWith]-(a:Person)<-[:hasAuthor]-(p)
RETURN DISTINCT d.datasetName",[],False,"The raw database output is empty and does not indicate whether there is a plan to release a dataset. It does not provide the TRUE answer required by the gold answer, so it cannot satisfy the user’s question."
